date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:59	58/58	---M--	200	added ('OK')	text/plain	date:Thu,%2019%20May%202011%2013:49:12%20GMT	https://sites.google.com/robots.txt		(from )
14:49:00	26713/26713	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/index.html	(from )
14:49:01	248/248	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202011%2013:49:14%20GMT	https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.0.delayed	(from )
14:49:01	518/518	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202011%2013:49:15%20GMT	https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.16fb5.delayed	(from )
14:49:01	3147/3147	---M--	200	added ('OK')	image/png	date:Mon,%2016%20May%202011%2017:41:27%20GMT	https://ssl.gstatic.com/sites/p/cac28e/system/app/images/apple-touch-icon.png	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/cac28e/system/app/images/apple-touch-icon.png	(from )
14:49:02	8507/8507	---MC-	200	added ('OK')	text/css	date:Mon,%2016%20May%202011%2017:41:27%20GMT	https://ssl.gstatic.com/sites/p/cac28e/system/app/css/trogedit.css	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/cac28e/system/app/css/trogedit.css	(from )
14:49:03	12975/12975	---MC-	200	added ('OK')	text/css	date:Thu,%2019%20May%202011%2013:49:16%20GMT	https://sites.google.com/site/deansbook/_/rsrc/1305556023000/system/app/css/editor.css	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1305556023000/system/app/css/editor.css	(from )
14:49:03	26542/26542	---MC-	200	added ('OK')	text/css	date:Mon,%2016%20May%202011%2017:41:27%20GMT	https://ssl.gstatic.com/sites/p/cac28e/system/app/css/kixeditor.css	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/cac28e/system/app/css/kixeditor.css	(from )
14:49:03	43/43	---M--	200	added ('OK')	image/gif	date:Mon,%2016%20May%202011%2017:41:27%20GMT	https://ssl.gstatic.com/sites/p/cac28e/system/app/images/cleardot.gif	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/cac28e/system/app/images/cleardot.gif	(from )
14:49:04	2909/2909	---MC-	200	added ('OK')	text/css	date:Thu,%2019%20May%202011%2013:49:18%20GMT	https://sites.google.com/site/deansbook/_/rsrc/1305556023000/system/app/css/overlay.css?cb=solitudecherry25a90%25300goog-ws-leftnonethemedefaultstandard	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1305556023000/system/app/css/overlayddde.css	(from )
14:49:04	117065/117065	---MC-	200	added ('OK')	text/css	date:Mon,%2016%20May%202011%2017:41:27%20GMT	https://ssl.gstatic.com/sites/p/cac28e/system/app/themes/solitudecherry/standard-css-solitudecherry-ltr-ltr.css	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/cac28e/system/app/themes/solitudecherry/standard-css-solitudecherry-ltr-ltr.css	(from )
14:49:05	6287/6287	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20May%202011%2013:49:18%20GMT	https://sites.google.com/site/deansbook/_/rsrc/1298375204579/config/customLogo.gif?revision=6	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1298375204579/config/customLogo544b.jpg	(from )
14:49:06	33232/33232	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/home/preface	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/home/preface.html	(from )
14:49:07	26079/26079	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/summary-of-the-book	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/summary-of-the-book.html	(from )
14:49:09	25816/25816	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/collocation-of-ballad-texts	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/collocation-of-ballad-texts.html	(from )
