NS049001,Eilean mo Chridh',,,'S truagh nach robh mise an eilean mo chridh','S mise bhiodh sona nan robh mi an drasd',"Homeland , Praise",Isle of Skye,Four line verse / Four line chorus,Scotland,John Angus 'Kaid',MacLean,,,Male,Portree,Isle of Skye,,Sound Recording,Donald MacDonnell,Mabou,,,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/25072?l=en,Homeland song/emigrant song. A song of nostalgia for the bard's homeland on the Isle of Skye.,,,
NS049002,'S Àlainn an t-Àite,,,,"Ò, 's àlainn an t-àite","Homeland , Praise","Judique , Immigration , Farming , Fish , Music",Eight line verse,Nova Scotia,Michael,MacDonald,Micheal Mór Dòmhnullach,c. 1745 - 1815,Male,Judique,Inverness,,Sound Recording,Angus MacDonald,Upper South River,20 November 1937,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/40723?l=en,The composer of this song praises the place in which he is going to be living. He says that he will farm with the plough and make bread there. He then says that he will have a dram and a frolic at Christmas time. The song praises the place's beauty and mentions the salmon in the river.,"This recording is a copy of the original which was recorded on wax cylinder using a clockwork Ediphone recorder. Eight quatrains sung. Composed by Michael MacDonald, a Scottish emigrant who left Prince Edward Island for Judique, Cape Breton, in the late 19th century.","See: The Emigrant Experience, ed. Margaret MacDonell (1982), p. 58-61. ",
NS049003,Òran Iain a' Phìobaire,Cumha Bràthar,,,'S ann Diciadain am feasgar,"Elegy , Lament","Brother , Seumus Mac'Illebhràith",Six line verse,Nova Scotia,Iain,Mac'IlleBhràth,Iain mac Iain am Pìobaire,c. 1784 - 1862,Male,"Arisaig , Highfield , Antigonish",Antigonish,,Sound Recording,Angus MacIsaac,Antigonish,27 May 1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/50210?l=en,"A lament with some information about the bard and the subject of the song. The song is a lament for James MacGillivray, the brother of the bard. The bard praises his late brother and he is sad that he had died in England. He hopes that they will meet again and that they will play music together at the seat of God's glory.",Local composition.,"See: Bardachd a Albainn Nuaidh, ed. Calum Macleod (1970), p. 42-43. ",
NS049004,A-chaoidh cha tog mi guth éibhinn,Cumha nam Mac,,,'Chaoidh cha tog mi guth éibhinn,"Elegy , Lament",Sons,Eight line verse,Nova Scotia,Iain,Mac'IlleBhràth,Iain am Pìobaire,1774 - 1848,Male,Malignant Brook,Antigonish,Pre-1848,Sound Recording,Angus MacIsaac,Antigonish,27 May 1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/50212?l=en,"Lament. A father composed this lament on the death of his son, James. James was in England but he died and this left the bard desolate. The bard says that he is sad and that he has no interest in anything after his son's death.","See also: 'The Gaelic Bards of Antigonish', ed. Trueman Matheson (2014), p. 21.",,
NS049005,Hóireann ó 's na bheil air m' aire,O horo 's na bheil air m'aire,,Hóireann ó 's na bheil air m' aire,Nuair a bha 'ad…,Exile,"Immigrant , Settler",Four line verse / Four line chorus,Nova Scotia,,,,,,,,,Sound Recording,John Shaw,Indian Brook,25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103738?l=en,"A song probably used for waulking, which seems to have been composed after the emigrants settled in Cape Breton. It tells why they came, and how difficult it was to cope with a situation very different from what they had left. The composer still misses the girl he loved.",,,
NS049006,Ò chiall nach mise a bha an Eilean an Fhraoich,,,Ò chiall nach mise a bha an Eilean an Fhraoich,,"Homeland , Praise",Cape Breton,Four line verse / Four line chorus,Nova Scotia,Malcolm Angus,MacLeod,Calum Thormaid Chaluim,1898 - 1978,Male,Skir Dhu,Victoria,20th Century,Sound Recording,John Shaw,Indian Brook,25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103741?l=en,A fragment of a song in praise of the beauty of Cape Breton. It was here that the composer learned Gaelic from his mother.,,,
NS049007,Hó ró mo nighean donn bhòidheach,,,Ho ro mo nighean donn bhòidheach,Innsidh mi dhuibh sgeul ùr,Praise,,Four line verse / Four line chorus,Nova Scotia,Norman W.,MacDonald,"""Lazarus""",,Male,North Shore,Victoria,,Sound Recording,Donnie Morrison,,25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103770?l=en,A humorous local song composed in Cape Breton. It uses the melody and chorus of a well-known love song.,,,
NS049008,A conversation with Joe Neil MacNeil about songs and stories,Òrain agus sgeulachdan,,,,,"Songs , Stories , Local events , Bards",,Nova Scotia,,,,,,,,,Sound Recording,Joe Neil MacNeil,Big Pond,1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103797?l=en,"A conversation about waulking songs, old songs, general songs and stories. Occasional verses are recited throughout. Some of the songs record local events, e.g. a fire that went out of control. Mention is made of the Currie bards, and other bards such as Donald MacIntyre (Dòmhnall Ruairidh Ailein). Stories and storytelling are examined, e.g. 'The Three Black Hats'.",,,
NS049009,An cuala sibhse mun duine a chaidh air thuras san àirigh,,,"Chaidh o hùraidh, horo chall",An cuala sibhse mun duine a chaidh air thuras san àirigh,Humorous,"Man , Swamp",Four line verse / Four line chorus,Nova Scotia,Lachlann,Currie,"Am Bàrd Ruadh , Lachlann MacMhuirich",1852 - 1926,Male,"Blacketts Lake , Upper Grand Mira , Ironville",Cape Breton,,Sound Recording,Margaret MacLean,Boisdale,1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103806?l=en ,"This humorous song tells of a man who was trying to visit a girl in a shieling. Unfortunately, he got lost in the mist.",The song is likely composed by Lachlann Currie but Margaret MacLean wasn't entirely certain.,,
NS049010,Ho-rò b' e mo rùn thu,An t-Each Geal,,Ho-rò b' e mo rùn thu,'S an oidhche bha luadh ann,"Local events , Humorous","Gathering , Frolic , Men , Horse , Sleigh",Four line verse / Four line chorus,Nova Scotia,Norman,MacDonald,,,Male,,,,Sound Recording,John Shaw,Indian Brook,25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/104691?l=en ,"A song composed in Cape Breton. It mentions some of the people in the local community at the time, in particular the young men. Some information is given about who the people were and what became of them.",,,
NS049011,Horò b' e mo rùn thu,Luadhadh an Taigh MhicAmhlaidh,,Ho-rò b' e mo rùn thu,'S an cuala sibh a chàirdean,Satire,"Milling Frolic , Neighbour",Four line verse / Four line chorus,Nova Scotia,John,MacLean,,,Male,,,,Sound Recording,John Shaw,Indian Brook,25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/104693?l=en ,A comic local song composed in Cape Breton. It tells of what went on at a neighbour's milling frolic.,"Composed by the contributor's uncle, John MacLean.",,
NS049012,O siud an taobh a ghabhainn,,,"O, siud an taobh a ghabhainn",Falbhaidh sinn air bhàrr nan cuantan,Homeland,"Immigration , Clan Macdonald",Four line verse / Four line chorus,Ontario,Anna,Gillis,,1759 - 1847,Female,Morar,Glengarry,,Sound Recording,Margaret MacLean,Boisdale,1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/104709?l=en  ,"An emigrant song. It names places from which the people came, including Morar, Arisaig, Moidart, Knoydart, Eigg and Uist. The composer speaks optimistically of leaving the land of the lairds, and going to a land across the sea. It is a land where there will be cattle in the folds.","Composed by Anna Gillies of Morar, who sailed from Greenock to Quebec on the 'MacDonald' in the autumn of 1786.
See: The Emigrant Experience, ed. Margaret MacDonell (1982), p. 132. ",,
NS049013,O gur mise a th' air mo leònadh,Blàr Inbhir Lòchaidh,,N hì ri ri ri hó hò,O gur mise th' air mo leònadh,Lament,"War , Death , Family , Loss",One line verse / two line chorus,Scotland,,Campbell,,17th century,Female,,,,Sound Recording,Angus MacDonald,Upper South River,20 November 1937,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/40721?l=en,"This song laments loved ones who have been killed at the Battle of Inverlochy. The song says that it was the ""grim Irish"" who gave strength to Clan Donald. The person in the song says their livestock were killed and their crops ruined.","This recording is a copy of the original which was recorded on wax cylinder using a clockwork Ediphone recorder.
 
23 couplets with a refrain. Composed by a Campbell woman after the Covenanter defeat at the hands of Royalist Irish and Highlanders led by Alasdair MacColla.","See: Songs Remembered in Exile, ed. John Lorne Campbell (1990), p. 205-6.",
NS049014,O gur mise a th' air mo leònadh,Blàr Inbhir Lòchaidh,,N hì ri ri ri hó hò,O gur mise th' air mo leònadh,Lament,"War , Death , Family , Loss",One line verse / two line chorus,Scotland,,Campbell,,17th century,Female,,,,Sound Recording,Angus MacDonald,Upper South River,20 October 1937,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/41494?l=en ,"In this song a man is lamenting what happened at the Battle of Inverlochy. A band of Irishmen came over to Scotland to fight with the MacDonalds. They killed his father, his wife and his children. They also killed his cattle and sheep and they ruined his oats and barley.",Copy of Ediphone wax cylinder recording.,"See: Songs Remembered in Exile, ed. John Lorne Campbell (1990), p. 205-6.",
